image_id,capture_id,camera_id,image_path,timestamp,width,height,blur_score,exposure_status,annotation_status
S002_SE01_CAP000049_CAM02,CAP000049,CAM02,02_data\private_raw\S002\SE01\CAM02\S002_SE01_CAP000049_CAM02.jpg,2026-08-28T13:53:40.393+00:00,1920,1080,175.3,auto,unannotated
S002_SE01_CAP000050_CAM01,CAP000050,CAM01,02_data\private_raw\S002\SE01\CAM01\S002_SE01_CAP000050_CAM01.jpg,2026-08-28T13:53:44.571+00:00,1920,1080,168.15,auto,unannotated
S002_SE01_CAP000050_CAM02,CAP000050,CAM02,02_data\private_raw\S002\SE01\CAM02\S002_SE01_CAP000050_CAM02.jpg,2026-08-28T13:53:44.531+00:00,1920,1080,177.2,auto,unannotated
S002_SE01_CAP000051_CAM01,CAP000051,CAM01,02_data\private_raw\S002\SE01\CAM01\S002_SE01_CAP000051_CAM01.jpg,2026-08-28T13:53:47.426+00:00,1920,1080,157.51,auto,unannotated
S002_SE01_CAP000051_CAM02,CAP000051,CAM02,02_data\private_raw\S002\SE01\CAM02\S002_SE01_CAP000051_CAM02.jpg,2026-08-28T13:53:47.394+00:00,1920,1080,177.12,auto,unannotated
S002_SE01_CAP000052_CAM01,CAP000052,CAM01,02_data\private_raw\S002\SE01\CAM01\S002_SE01_CAP000052_CAM01.jpg,2026-08-28T13:53:50.488+00:00,1920,1080,162.48,auto,unannotated
S002_SE01_CAP000052_CAM02,CAP000052,CAM02,02_data\private_raw\S002\SE01\CAM02\S002_SE01_CAP000052_CAM02.jpg,2026-08-28T13:53:50.455+00:00,1920,1080,176.47,auto,unannotated
S002_SE01_CAP000053_CAM01,CAP000053,CAM01,02_data\private_raw\S002\SE01\CAM01\S002_SE01_CAP000053_CAM01.jpg,2026-08-28T13:54:09.825+00:00,1920,1080,163.14,auto,unannotated
S002_SE01_CAP000053_CAM02,CAP000053,CAM02,02_data\private_raw\S002\SE01\CAM02\S002_SE01_CAP000053_CAM02.jpg,2026-08-28T13:54:09.878+00:00,1920,1080,160.28,auto,unannotated
S002_SE01_CAP000054_CAM01,CAP000054,CAM01,02_data\private_raw\S002\SE01\CAM01\S002_SE01_CAP000054_CAM01.jpg,2026-08-28T13:54:13.095+00:00,1920,1080,154.1,auto,unannotated
S002_SE01_CAP000054_CAM02,CAP000054,CAM02,02_data\private_raw\S002\SE01\CAM02\S002_SE01_CAP000054_CAM02.jpg,2026-08-28T13:54:13.129+00:00,1920,1080,55.58,auto,unannotated
S002_SE01_CAP000055_CAM01,CAP000055,CAM01,02_data\private_raw\S002\SE01\CAM01\S002_SE01_CAP000055_CAM01.jpg,2026-08-28T13:54:15.460+00:00,1920,1080,155.9,auto,unannotated
S002_SE01_CAP000055_CAM02,CAP000055,CAM02,02_data\private_raw\S002\SE01\CAM02\S002_SE01_CAP000055_CAM02.jpg,2026-08-28T13:54:15.538+00:00,1920,1080,173.04,auto,unannotated
S002_SE01_CAP000056_CAM01,CAP000056,CAM01,02_data\private_raw\S002\SE01\CAM01\S002_SE01_CAP000056_CAM01.jpg,2026-08-28T13:54:17.859+00:00,1920,1080,160.05,auto,unannotated
S002_SE01_CAP000056_CAM02,CAP000056,CAM02,02_data\private_raw\S002\SE01\CAM02\S002_SE01_CAP000056_CAM02.jpg,2026-08-28T13:54:17.877+00:00,1920,1080,175.62,auto,unannotated
S002_SE01_CAP000057_CAM01,CAP000057,CAM01,02_data\private_raw\S002\SE01\CAM01\S002_SE01_CAP000057_CAM01.jpg,2026-08-28T13:54:20.248+00:00,1920,1080,162.03,auto,unannotated
S002_SE01_CAP000057_CAM02,CAP000057,CAM02,02_data\private_raw\S002\SE01\CAM02\S002_SE01_CAP000057_CAM02.jpg,2026-08-28T13:54:20.273+00:00,1920,1080,173.88,auto,unannotated
S002_SE01_CAP000058_CAM01,CAP000058,CAM01,02_data\private_raw\S002\SE01\CAM01\S002_SE01_CAP000058_CAM01.jpg,2026-08-28T13:54:46.698+00:00,1920,1080,163.91,auto,unannotated
S002_SE01_CAP000058_CAM02,CAP000058,CAM02,02_data\private_raw\S002\SE01\CAM02\S002_SE01_CAP000058_CAM02.jpg,2026-08-28T13:54:46.744+00:00,1920,1080,165.24,auto,unannotated
S002_SE01_CAP000059_CAM01,CAP000059,CAM01,02_data\private_raw\S002\SE01\CAM01\S002_SE01_CAP000059_CAM01.jpg,2026-08-28T13:54:49.296+00:00,1920,1080,146.46,auto,unannotated
S002_SE01_CAP000059_CAM02,CAP000059,CAM02,02_data\private_raw\S002\SE01\CAM02\S002_SE01_CAP000059_CAM02.jpg,2026-08-28T13:54:49.287+00:00,1920,1080,162.3,auto,unannotated
S002_SE01_CAP000060_CAM01,CAP000060,CAM01,02_data\private_raw\S002\SE01\CAM01\S002_SE01_CAP000060_CAM01.jpg,2026-08-28T13:54:52.097+00:00,1920,1080,158.1,auto,unannotated
S002_SE01_CAP000060_CAM02,CAP000060,CAM02,02_data\private_raw\S002\SE01\CAM02\S002_SE01_CAP000060_CAM02.jpg,2026-08-28T13:54:52.082+00:00,1920,1080,161.14,auto,unannotated
S002_SE01_CAP000061_CAM01,CAP000061,CAM01,02_data\private_raw\S002\SE01\CAM01\S002_SE01_CAP000061_CAM01.jpg,2026-08-28T13:54:54.551+00:00,1920,1080,164.48,auto,unannotated
S002_SE01_CAP000061_CAM02,CAP000061,CAM02,02_data\private_raw\S002\SE01\CAM02\S002_SE01_CAP000061_CAM02.jpg,2026-08-28T13:54:54.553+00:00,1920,1080,164.08,auto,unannotated
S002_SE01_CAP000062_CAM01,CAP000062,CAM01,02_data\private_raw\S002\SE01\CAM01\S002_SE01_CAP000062_CAM01.jpg,2026-08-28T13:54:57.206+00:00,1920,1080,161.11,auto,unannotated
S002_SE01_CAP000062_CAM02,CAP000062,CAM02,02_data\private_raw\S002\SE01\CAM02\S002_SE01_CAP000062_CAM02.jpg,2026-08-28T13:54:57.211+00:00,1920,1080,162.72,auto,unannotated
S002_SE01_CAP000063_CAM01,CAP000063,CAM01,02_data\private_raw\S002\SE01\CAM01\S002_SE01_CAP000063_CAM01.jpg,2026-08-28T13:55:07.177+00:00,1920,1080,162.25,auto,unannotated
S002_SE01_CAP000063_CAM02,CAP000063,CAM02,02_data\private_raw\S002\SE01\CAM02\S002_SE01_CAP000063_CAM02.jpg,2026-08-28T13:55:07.152+00:00,1920,1080,160.94,auto,unannotated
